IRIS2	Type	UnderAge25	OverAge65	ForeignPop	LabourForce	MenLabourForce	WomenLabourForce	UnemployedForeigners	UnemployedTotal	UnemployedAge1524	UnemployedOverAge50	UnemployedMen	UnemployedWomen	UnemployedMore1Year	SelfEmployed	InsecureJobs	SteadyJobs	SingleParentFamilies	NoDiplomas	HouseholderAlone	AttendingSchool	BasicGeneralQualifications	GeneralCertificates	LowerTertiaryEducation	HigherEducationalDegree	Students	IndividualHouse	MultipleDwellingUnits	BuiltBefore1968	Builtafter1990	ParkingSpace	NonOwner	Less40m2	Larger150m2	WithoutCar	TwoOrMoreCars	SubsidizedHousing	MedianIncome
63	H	0.368886576	0.130072841	0.046826223	0.44640999	0.524550898	0.386384545	0	0.101398601	0.060606061	0.117647059	0.111872146	0.09047619	0.058275058	0.122377622	0.148018648	0.623543124	0.215053763	0.049887892	0.62037037	1	0.063340807	0.092488789	0.094170404	0.274103139	0.313901345	0.019360269	0.942760943	0.668350168	0.033670034	0.162457912	0.804713805	0.293771044	0.035353535	0.493265993	0.073232323	0.138047138	21282
64	A	0.409876543	0.074074074	0.04691358	0.459259259	0.518518519	0.407407407	0.021505376	0.166666667	0.333333333	0.125	0.142857143	0.193181818	0.102150538	0.02688172	0.182795699	0.61827957	0.272727273	0.180379747	0.409356725	1	0.164556962	0.088607595	0.069620253	0.123417722	0.193037975	0.040935673	0.941520468	0.748538012	0	0.456140351	0.964912281	0.192982456	0.01754386	0.362573099	0.122807018	0.67251462	19319
65	A	0.777777778	0.037037037	0	0.222222222	0.222222222	0.222222222	0	0	0	0	0	0	0	0.333333333	0.166666667	0.5		0.041666667	0.956521739	1	0.125	0.041666667	0	0	0.708333333	0	1	1	0	0	0.913043478	0.826086957	0	0.869565217	0	0	17973.25
66	H	0.425380228	0.108365019	0.094581749	0.423003802	0.463738509	0.387555556	0.035955056	0.226966292	0.483870968	0.183206107	0.196035242	0.259174312	0.150561798	0.050561798	0.147191011	0.571910112	0.278688525	0.168539326	0.358244365	0.996655518	0.144293318	0.091661739	0.063867534	0.10940272	0.248373743	0.022538553	0.950177936	0.890865955	0.105575326	0.24911032	0.881376038	0.132858837	0.018979834	0.415183867	0.09489917	0.50059312	16627.5
67	H	0.325592417	0.180094787	0.034123223	0.455924171	0.506833713	0.419642857	0.016632017	0.108108108	0.172839506	0.071428571	0.107865169	0.108317215	0.06029106	0.066528067	0.16008316	0.66008316	0.165354331	0.060918947	0.575158228	0.988888889	0.083118224	0.119256582	0.102219928	0.252968508	0.247805885	0.017405063	0.965189873	0.61471519	0.049841772	0.373417722	0.755537975	0.253955696	0.019778481	0.422468354	0.069620253	0.157436709	21054.5
68	H	0.274376417	0.247165533	0.028911565	0.39739229	0.47752809	0.343155894	0.005706134	0.115549215	0.111111111	0.083333333	0.114705882	0.11634349	0.07275321	0.058487874	0.112696148	0.711840228	0.144329897	0.106183635	0.593662628	0.990740741	0.122423485	0.113678951	0.083073079	0.201748907	0.195502811	0.012115564	0.958993476	0.716682199	0.021435228	0.465051258	0.75862069	0.276794035	0.005591799	0.467847158	0.063373719	0.383038211	19215
69	H	0.452126121	0.06421753	0.038472664	0.451258316	0.495619524	0.413125336	0.020512821	0.155128205	0.223404255	0.116504854	0.161616162	0.1484375	0.076282051	0.076923077	0.178846154	0.585897436	0.119496855	0.056176084	0.642161636	0.973180077	0.070959264	0.086399474	0.10282523	0.251971091	0.352496715	0.126582278	0.829600779	0.803310613	0.082765336	0.133885102	0.804284323	0.47127556	0.065725414	0.474683544	0.101752678	0.02872444	17528
70	H	0.43517955	0.070906878	0.0356056	0.454351795	0.528511822	0.396645022	0.008037508	0.104487609	0.150326797	0.101382488	0.105263158	0.103683492	0.051574012	0.113864702	0.154052244	0.622906899	0.096153846	0.031751227	0.662937063	0.986842105	0.053027823	0.088707038	0.103109656	0.265139116	0.389525368	0.058741259	0.901165501	0.625641026	0.167832168	0.306759907	0.808391608	0.444289044	0.034498834	0.442424242	0.084382284	0	19629
71	H	0.281914894	0.039893617	0.039007092	0.695035461	0.739932886	0.644736842	0.010204082	0.075255102	0.055555556	0.15	0.074829932	0.075801749	0.033163265	0.053571429	0.136479592	0.733418367	0.089552239	0.052274927	0.600864553	1	0.062923524	0.130687318	0.174249758	0.338818974	0.151016457	0.077809798	0.904899135	0.344380403	0.603746398	0.636887608	0.874639769	0.219020173	0.017291066	0.187319885	0.159942363	0.014409222	22413
72	H	0.3574045	0.10570382	0.06541078	0.500784929	0.568715084	0.440944882	0.008359457	0.138975967	0.290322581	0.161016949	0.147347741	0.129464286	0.072100313	0.077324974	0.152560084	0.630094044	0.206521739	0.078820698	0.541313559	0.972972973	0.102888087	0.104693141	0.119735259	0.256919374	0.2244284	0.091101695	0.875	0.469279661	0.150423729	0.318855932	0.818855932	0.230932203	0.037076271	0.382415254	0.136652542	0.290254237	19934.5
73	H	0.358415842	0.083663366	0.05049505	0.53960396	0.583157895	0.500934579	0.014678899	0.118348624	0.16	0.079470199	0.11732852	0.119402985	0.055045872	0.113761468	0.140366972	0.623853211	0.184782609	0.047128927	0.63382467	0.979591837	0.052004334	0.104550379	0.114301192	0.336944745	0.284940412	0.05973623	0.893716059	0.531419705	0.136539953	0.273079907	0.847168348	0.335919317	0.02094647	0.399534523	0.092319628	0.131109387	20783.5
74	H	0.398136646	0.061490683	0.052484472	0.518012422	0.540150565	0.496309963	0.014388489	0.14028777	0.219653179	0.150485437	0.140534262	0.140024783	0.067745803	0.104916067	0.149880096	0.602517986	0.162650602	0.058347979	0.587695629	0.995689655	0.061862917	0.091036907	0.105448155	0.303690685	0.28857645	0.091203454	0.865083648	0.5429034	0.183486239	0.344846195	0.792768484	0.342687534	0.027522936	0.392336751	0.11279007	0.138154344	21285
75	H	0.367363674	0.095530955	0.062320623	0.514145141	0.572890026	0.45971564	0.016746411	0.133173844	0.2265625	0.114130435	0.141369048	0.12371134	0.072567783	0.115629984	0.13476874	0.616427432	0.133333333	0.082004556	0.605166052	0.986206897	0.069703872	0.093394077	0.119362187	0.288838269	0.262414579	0.141697417	0.822140221	0.665682657	0.225092251	0.332841328	0.734317343	0.363099631	0.048708487	0.339483395	0.150553506	0.024354244	22361
76	H	0.35106912	0.115862755	0.046245649	0.481849826	0.541353383	0.430555556	0.004127967	0.113519092	0.182926829	0.125874126	0.107142857	0.120430108	0.057791538	0.108359133	0.156862745	0.620227038	0.133333333	0.080112045	0.565777369	1	0.062745098	0.084593838	0.119887955	0.319327731	0.248739496	0.135234591	0.821527139	0.632934683	0.169273229	0.333026679	0.757129715	0.274149034	0.070837167	0.336706532	0.126034959	0.110395584	24500
77	H	0.301470588	0.182904412	0.106617647	0.485294118	0.557040082	0.42726517	0.026515152	0.18844697	0.284313725	0.214285714	0.184501845	0.192607004	0.109848485	0.043560606	0.154356061	0.612689394	0.216	0.133900106	0.481751825	0.984210526	0.108926674	0.091923486	0.227417641	0.166312434	0.149840595	0.028154327	0.965589155	0.104275287	0.339937435	0.42544317	0.898852972	0.166840459	0.015641293	0.353493222	0.126173097	0.5818561	17323
78	D	0.62585034	0.040816327	0.006802721	0.87755102	0.943548387	0.52173913	0	0.007751938	0	0.083333333	0.008547009	0	0.007751938	0.015503876	0.03875969	0.775193798	0	0.125874126	0.315789474	1	0.328671329	0.160839161	0.041958042	0.062937063	0.048951049	0.684210526	0.157894737	0.842105263	0	0.473684211	0.578947368	0.263157895	0.052631579	0.210526316	0.157894737	0	22571.13
79	A	0.359550562	0.258426966	0.011235955	0.314606742	0.463414634	0.1875	0	0.178571429		0	0.210526316	0.111111111	0.035714286	0.071428571	0	0.75	0	0.024390244	0.404255319	1	0.073170732	0.097560976	0.134146341	0.182926829	0.329268293	0.106382979	0.85106383	0.446808511	0	0.531914894	0.574468085	0.234042553	0.127659574	0.276595745	0.255319149	0	19638.67
80	H	0.597130671	0.048468399	0.040713455	0.348584723	0.365546218	0.334053276	0.013348165	0.145717464	0.202797203	0.202380952	0.165517241	0.127155172	0.081201335	0.04894327	0.220244716	0.583982202	0.164835165	0.046589018	0.739082969	1	0.068635607	0.068219634	0.076123128	0.131863561	0.541597338	0.082423581	0.884279476	0.437772926	0.191593886	0.354257642	0.900655022	0.628820961	0.013100437	0.490720524	0.064956332	0.10371179	15806
81	H	0.472274436	0.115601504	0.043703008	0.365131579	0.366767984	0.363716039	0.005148005	0.153153153	0.267605634	0.093220339	0.160220994	0.146987952	0.09009009	0.038610039	0.132561133	0.674388674	0.259259259	0.084388186	0.61132661	1	0.107067511	0.085443038	0.070675105	0.114978903	0.391350211	0.037238169	0.9193173	0.256788208	0.166795966	0.400310318	0.881303336	0.424359969	0.006206362	0.48875097	0.071373157	0.500387898	17565
82	H	0.646111682	0.067831449	0.034600891	0.2672148	0.289139633	0.246502332	0.005128205	0.11025641	0.137614679	0.11	0.104878049	0.116216216	0.058974359	0.074358974	0.166666667	0.642307692	0.069767442	0.022808268	0.719328704	1	0.040270848	0.059158945	0.073414113	0.145046329	0.621525303	0.040509259	0.923032407	0.497685185	0.297453704	0.383680556	0.854166667	0.564814815	0.02025463	0.47974537	0.063078704	0.069444444	19807.5
83	H	0.450160772	0.104731282	0.044556729	0.427652733	0.479321315	0.388168558	0.017185822	0.152524168	0.257352941	0.078947368	0.14380531	0.160751566	0.071965628	0.093447905	0.179377014	0.571428571	0.123809524	0.066056911	0.63174355	1	0.087906504	0.083333333	0.104674797	0.197154472	0.351626016	0.154026583	0.81157154	0.605160281	0.138389367	0.315089914	0.730258014	0.437842064	0.043002346	0.414386239	0.121188428	0	19787.5
84	H	0.322658127	0.107686149	0.033226581	0.543634908	0.581915846	0.512671977	0.002945508	0.103092784	0.18852459	0.104347826	0.103076923	0.103107345	0.064064801	0.052282769	0.131811487	0.708394698	0.181818182	0.083061129	0.507598784	0.982142857	0.118525432	0.107326178	0.152123192	0.231451237	0.167522165	0.259878419	0.726443769	0.343465046	0.073708207	0.643617021	0.601823708	0.143617021	0.037234043	0.20668693	0.168693009	0.066869301	21774
85	H	0.406664278	0.072733787	0.030455034	0.475456826	0.51236476	0.443553774	0.006028636	0.107761869	0.165289256	0.096774194	0.128205128	0.087349398	0.06028636	0.067068576	0.143933685	0.678975132	0.132450331	0.060848679	0.589711418	0.957446809	0.083266613	0.092473979	0.114891914	0.240992794	0.326261009	0.186323714	0.781681305	0.467377666	0.328732748	0.415934755	0.767879548	0.382685069	0.065244668	0.303011292	0.150564617	0.069636136	20696
86	H	0.588853358	0.06852444	0.036546368	0.289629968	0.283261803	0.296875	0.012618297	0.102523659	0.259259259	0.075	0.096969697	0.108552632	0.048895899	0.09148265	0.121451104	0.681388013	0.127659574	0.042857143	0.557692308	0.970588235	0.058673469	0.064795918	0.074489796	0.15	0.541326531	0.156108597	0.804298643	0.640271493	0.093891403	0.373303167	0.78280543	0.414027149	0.075791855	0.35520362	0.134615385	0.095022624	25246
87	H	0.451828724	0.08117752	0.086529884	0.421944692	0.47696477	0.368281938	0.033826638	0.283298097	0.418918919	0.222222222	0.308712121	0.251196172	0.170190275	0.035940803	0.184989429	0.49577167	0.2	0.203040174	0.579173838	0.94488189	0.121064061	0.072747014	0.073289902	0.132464712	0.274158523	0.307228916	0.649741824	0.774526678	0.049053356	0.149741824	0.753872633	0.431153184	0.028399312	0.527538726	0.074010327	0.003442341	12639
88	H	0.378964942	0.114635504	0.130217028	0.438508625	0.497069168	0.38559322	0.086294416	0.338832487	0.449541284	0.357142857	0.372641509	0.299450549	0.232233503	0.063451777	0.172588832	0.421319797	0.193877551	0.29532967	0.518475751	0.98340249	0.118131868	0.090659341	0.075549451	0.085164835	0.168956044	0.224018476	0.739030023	0.490762125	0.061200924	0.153579677	0.839491917	0.271362587	0.025404157	0.605080831	0.06812933	0.476905312	11398.5
89	H	0.431054461	0.061413673	0.165121669	0.470451912	0.517067004	0.431016043	0.068965517	0.350985222	0.448	0.308411215	0.369193154	0.332506203	0.226600985	0.044334975	0.177339901	0.426108374	0.268041237	0.27037037	0.428571429	0.987854251	0.174814815	0.095555556	0.071851852	0.079259259	0.185925926	0.068090788	0.906542056	0.384512684	0.066755674	0.164218959	0.94259012	0.2376502	0.009345794	0.570093458	0.064085447	0.635514019	11936
90	H	0.471446307	0.10211049	0.063004345	0.386716325	0.436337625	0.348684211	0.016051364	0.18459069	0.203947368	0.1875	0.163934426	0.204402516	0.101123596	0.065810594	0.169341894	0.578651685	0.151724138	0.101913043	0.637051994	1	0.08626087	0.073391304	0.089043478	0.154086957	0.386782609	0.092377587	0.879353862	0.531549722	0.398788491	0.215547703	0.882887431	0.460373549	0.020191822	0.545683998	0.06360424	0.259969712	15721
91	H	0.363384189	0.164123902	0.031437818	0.426722145	0.460732984	0.399834437	0.008667389	0.098591549	0.1	0.14893617	0.106818182	0.091097308	0.047670639	0.056338028	0.154929577	0.689057421	0.087378641	0.049848943	0.633237822	1	0.078549849	0.108257805	0.105740181	0.240684794	0.296576032	0.032234957	0.937679083	0.464183381	0.038681948	0.553724928	0.696275072	0.335243553	0.022206304	0.353868195	0.100286533	0.133954155	21431
92	H	0.440225035	0.100703235	0.039662447	0.435724332	0.478075518	0.399372713	0.015493867	0.113621691	0.183246073	0.081632653	0.113375796	0.113874346	0.050355068	0.070367979	0.154293092	0.660426081	0.146892655	0.04799514	0.645048203	0.986394558	0.061664642	0.089914945	0.105103281	0.229951397	0.378797084	0.059158633	0.883435583	0.414110429	0.255039439	0.438650307	0.862401402	0.396581946	0.021034181	0.434268186	0.08150745	0.122699387	18020.5
93	H	0.476156328	0.092147723	0.048404446	0.371459304	0.41496063	0.335088874	0.003861004	0.144787645	0.106557377	0.132352941	0.142314991	0.147347741	0.083976834	0.116795367	0.185328185	0.55019305	0.202099738	0.070703125	0.676657061	0.972413793	0.072265625	0.071875	0.097265625	0.1765625	0.416015625	0.133717579	0.81556196	0.650144092	0.181556196	0.245533141	0.799423631	0.500864553	0.038040346	0.4870317	0.073775216	0.038040346	16289.5
94	H	0.437988281	0.059082031	0.1015625	0.447265625	0.508	0.389312977	0.061135371	0.35371179	0.374193548	0.358333333	0.368110236	0.335784314	0.223799127	0.046943231	0.195414847	0.400655022	0.252252252	0.207878788	0.569014085	0.928229665	0.133333333	0.078181818	0.081212121	0.123636364	0.22969697	0.190610329	0.759624413	0.844131455	0.03286385	0.101408451	0.870422535	0.387793427	0.015023474	0.57370892	0.05258216	0.126760563	11636
95	H	0.409090909	0.136363636	0.061157025	0.409917355	0.467579909	0.362264151	0.036290323	0.186491935	0.242857143	0.172413793	0.197265625	0.175	0.102822581	0.081653226	0.179435484	0.549395161	0.117647059	0.117944011	0.648685098	1	0.087195961	0.094997705	0.092244149	0.176686553	0.306103717	0.169925826	0.772757923	0.806473365	0.052596089	0.085637222	0.797033041	0.494942684	0.044504383	0.552933243	0.089008766	0.049224545	13909.5
96	H	0.432357043	0.066248257	0.061366806	0.476290098	0.521609538	0.436435125	0.023426061	0.19033675	0.224489796	0.169491525	0.2	0.18018018	0.108345534	0.03806735	0.199121523	0.568081991	0.179487179	0.091194969	0.615124153	0.901098901	0.083333333	0.096698113	0.128144654	0.175314465	0.323113208	0.097065463	0.880361174	0.572234763	0.374717833	0.32731377	0.862302483	0.401805869	0.022573363	0.470654628	0.10496614	0.161399549	16927
97	H	0.602488152	0.046800948	0.332345972	0.282582938	0.363080685	0.206896552	0.251572327	0.536687631	0.745614035	0.527472527	0.528619529	0.55	0.318658281	0.020964361	0.157232704	0.283018868	0.333333333	0.404718693	0.115281501	0.991169978	0.117967332	0.047186933	0.021778584	0.007259528	0.274047187	0	0.991957105	1	0	0.184986595	0.970509383	0.058981233	0.013404826	0.54155496	0.08310992	1.032171582	9396
98	H	0.430800201	0.072974333	0.117765476	0.437845999	0.505807814	0.375961538	0.068965517	0.271264368	0.431034483	0.271028037	0.275574113	0.265984655	0.173563218	0.05862069	0.182758621	0.486206897	0.267326733	0.220994475	0.521916412	0.961206897	0.130141191	0.089625537	0.073664825	0.103130755	0.251074279	0.186544343	0.764525994	0.610601427	0.120285423	0.260958206	0.856269113	0.327217125	0.028542304	0.505606524	0.067278287	0.345565749	12805
99	H	0.382986767	0.173534972	0.082041588	0.412476371	0.477195946	0.360027379	0.047662695	0.238313474	0.313609467	0.21641791	0.247787611	0.228136882	0.140238313	0.038496792	0.183318057	0.539871677	0.220472441	0.235559567	0.514460999	0.966942149	0.113267148	0.097472924	0.072202166	0.104693141	0.201263538	0.31375986	0.649430324	0.787905346	0.141104294	0.122699387	0.752848379	0.332164768	0.024539877	0.462751972	0.080631025	0.168273444	14152
100	H	0.45272302	0.089208152	0.07985299	0.442699632	0.504847645	0.384764364	0.02490566	0.24754717	0.290196078	0.278787879	0.255144033	0.238255034	0.13509434	0.049811321	0.230943396	0.471698113	0.253644315	0.189772273	0.524657534	0.966153846	0.144626448	0.10387535	0.079504594	0.09029165	0.254494606	0.193150685	0.756849315	0.45	0.165753425	0.26369863	0.849315068	0.339726027	0.02260274	0.52739726	0.081506849	0.456849315	13165
101	H	0.43315508	0.051604278	0.105347594	0.485828877	0.550289626	0.419337317	0.07044579	0.253164557	0.371541502	0.261261261	0.274641148	0.224093264	0.141441937	0.069345074	0.161254816	0.50963126	0.198863636	0.181524548	0.559312936	0.967254408	0.134043928	0.097222222	0.092700258	0.125645995	0.252583979	0.114331723	0.851851852	0.44229737	0.313472893	0.331186259	0.877079979	0.381105743	0.012882448	0.450885668	0.084809447	0.257648953	13499.5
102	H	0.562335217	0.038418079	0.296798493	0.274576271	0.3328	0.222775801	0.164609053	0.50617284	0.584745763	0.464285714	0.492788462	0.523961661	0.36351166	0.008230453	0.170096022	0.314128944	0.279069767	0.261456826	0.407364787	0.975247525	0.092137	0.04341534	0.024602026	0.025566811	0.450554752	0.001150748	0.995397008	0.779056387	0	0.060989643	0.99424626	0.326812428	0.008055236	0.693901036	0.04027618	0.930955121	8704
103	H	0.371497198	0.088070456	0.082065653	0.494395516	0.553781513	0.440366972	0.042105263	0.247773279	0.358108108	0.252873563	0.265553869	0.227430556	0.16437247	0.03562753	0.179757085	0.531983806	0.266666667	0.176215696	0.463149079	0.975308642	0.161290323	0.099181512	0.084737602	0.107847857	0.183919114	0.175879397	0.782244556	0.555276382	0.04438861	0.297319933	0.849246231	0.278894472	0.00921273	0.443048576	0.083752094	0.459798995	14347
104	H	0.330955777	0.188777936	0.05658583	0.416072278	0.478787879	0.360287511	0.004571429	0.224	0.467889908	0.203592814	0.255274262	0.187032419	0.141714286	0.075428571	0.105142857	0.592	0.19858156	0.229489386	0.32	1	0.163511188	0.122203098	0.068846816	0.05794607	0.13080895	0.6375	0.33375	0.88125	0.00375	0.24625	0.50375	0.105	0.04125	0.35	0.16	0.1275	20024.5
105	H	0.442185515	0.109911055	0.186149936	0.394536213	0.453910615	0.344988345	0.1352657	0.3784219	0.447154472	0.391304348	0.363076923	0.39527027	0.265700483	0.020933977	0.220611916	0.3784219	0.340909091	0.351489362	0.460972018	0.974452555	0.13787234	0.083404255	0.05106383	0.034893617	0.155744681	0	0.998527246	1	0	0.088365243	1	0.377025037	0.004418262	0.609720177	0.029455081	1.051546392	9999
106	H	0.384615385	0.129310345	0.058355438	0.478116711	0.52757079	0.438470729	0.027739251	0.27739251	0.365079365	0.127659574	0.265536723	0.288828338	0.155339806	0.026352288	0.191400832	0.502080444	0.337349398	0.256562235	0.475100942	0.979487179	0.215918713	0.093988146	0.049110923	0.038103302	0.105842506	0.004037685	0.99461642	1	0	0.065948856	0.99730821	0.222072678	0.004037685	0.481830417	0.040376851	1.033647376	12115
107	H	0.514476615	0.04766147	0.296659243	0.352783964	0.421903052	0.284703802	0.222222222	0.53030303	0.616438356	0.544642857	0.514893617	0.552795031	0.361111111	0.023989899	0.175505051	0.27020202	0.32173913	0.432328416	0.296187683	0.965738758	0.142398974	0.053239256	0.02822322	0.020525978	0.194996793	0.001466276	0.991202346	1	0	0.06744868	0.995601173	0.195014663	0	0.651026393	0.035190616	1.076246334	8233
108	A	0.528556594	0.033229491	0.153686397	0.267912773	0.347058824	0.178807947	0	0.112403101	0.142857143	0.192307692	0.141242938	0.049382716	0.081395349	0.023255814	0.403100775	0.457364341	0.1	0.079569892	0.45	0.642857143	0.061290323	0.043010753	0.037634409	0.080645161	0.624731183	0.683333333	0.133333333	0.866666667	0	0.283333333	0.85	0.283333333	0.083333333	0.55	0.2	0	17485
109	H	0.364609572	0.153652393	0.061712846	0.413098237	0.483116883	0.347188264	0.030487805	0.25	0.423076923	0.198113208	0.266129032	0.228873239	0.143292683	0.047256098	0.160060976	0.542682927	0.221052632	0.318952234	0.42	0.980392157	0.179506934	0.050077042	0.067026194	0.04853621	0.144067797	0.524285714	0.438571429	0.922857143	0.032857143	0.19	0.605714286	0.215714286	0.034285714	0.457142857	0.104285714	0.227142857	14792
110	H	0.419945105	0.101555352	0.077310156	0.425434584	0.480901077	0.376824034	0.047311828	0.255913978	0.451851852	0.254385965	0.264765784	0.246013667	0.146236559	0.025806452	0.175268817	0.541935484	0.276923077	0.274135876	0.365384615	0.991501416	0.165673421	0.072109654	0.058402861	0.069725864	0.169249106	0.338235294	0.653846154	0.419683258	0.013574661	0.17760181	0.797511312	0.135746606	0.010180995	0.411764706	0.074660633	0.648190045	15261
111	H	0.551002616	0.034437663	0.222755013	0.346120314	0.428571429	0.273026316	0.075566751	0.405541562	0.561151079	0.324074074	0.376623377	0.445783133	0.234256927	0.021410579	0.206549118	0.365239295	0.316239316	0.389750506	0.236686391	0.985239852	0.163182738	0.061362104	0.023600809	0.036412677	0.195549562	0.068047337	0.918639053	0.473372781	0.00887574	0.355029586	0.961538462	0.093195266	0.014792899	0.49852071	0.044378698	0.98816568	10522
112	H	0.533209647	0.035250464	0.260853432	0.354359926	0.430107527	0.28356066	0.142408377	0.412565445	0.537931034	0.434782609	0.385714286	0.450632911	0.264921466	0.019895288	0.202094241	0.363350785	0.341935484	0.392898719	0.259043174	0.978405316	0.148428405	0.062281723	0.037252619	0.048894063	0.179860303	0.026837806	0.96966161	0.035005834	0.001166861	0.401400233	0.960326721	0.108518086	0.002333722	0.487747958	0.058343057	0.983663944	10021
113	H	0.493384785	0.073318633	0.088202867	0.375413451	0.43020595	0.324468085	0.041116006	0.356828194	0.598290598	0.164705882	0.340425532	0.37704918	0.221732746	0.03671072	0.174743025	0.430249633	0.306930693	0.394230769	0.273031826	0.965517241	0.151442308	0.063301282	0.03125	0.025641026	0.155448718	0.236180905	0.747068677	0.319932998	0	0.144053601	0.855946399	0.110552764	0.02680067	0.514237856	0.085427136	0.721943049	12345.5
114	H	0.42945874	0.107808341	0.124667258	0.386424135	0.468125595	0.315045719	0.068886338	0.353616533	0.496183206	0.294573643	0.329268293	0.385224274	0.22043628	0.016073479	0.194029851	0.435132032	0.270833333	0.41342121	0.32408575	0.984575835	0.164769323	0.043738766	0.026962253	0.025164769	0.142001198	0.290037831	0.704918033	0.692307692	0	0.085750315	0.931904161	0.133669609	0.003783102	0.530895334	0.063051702	0.733921816	12574
115	A	0.42703533	0.082949309	0.178187404	0.397849462	0.48048048	0.311320755	0.123552124	0.451737452	0.666666667	0.407407407	0.425	0.494949495	0.274131274	0.027027027	0.138996139	0.378378378	0.263157895	0.405295316	0.299107143	0.958333333	0.156822811	0.042769857	0.036659878	0.032586558	0.16700611	0.183035714	0.794642857	0.973214286	0	0.133928571	0.857142857	0.165178571	0.008928571	0.504464286	0.125	1.334821429	10946
116	H	0.411572409	0.136319059	0.050997058	0.40928408	0.445757997	0.376927822	0.015974441	0.143769968	0.23015873	0.145728643	0.15600624	0.130932897	0.083067093	0.042332268	0.121405751	0.690095847	0.116666667	0.106573318	0.432561852	0.968481375	0.135744846	0.091015169	0.091015169	0.108129133	0.278101906	0.517158819	0.446927374	0.936951317	0.036711891	0.251396648	0.504389465	0.192338388	0.031125299	0.30726257	0.173982442	0.211492418	20539
117	H	0.468895801	0.087091757	0.15318818	0.388024883	0.485507246	0.296992481	0.068136273	0.343687375	0.468599034	0.282208589	0.326699834	0.369620253	0.209418838	0.029058116	0.20240481	0.418837675	0.276119403	0.351226994	0.300498753	0.985010707	0.153885481	0.06799591	0.047546012	0.032719836	0.188650307	0.210723192	0.769326683	0.846633416	0.052369077	0.199501247	0.815461347	0.112219451	0.017456359	0.480049875	0.097256858	0.695760599	13758
118	H	0.282258065	0.097507331	0.021260997	0.605571848	0.624	0.589986468	0	0.100484262	0.212121212	0.08	0.092307692	0.107798165	0.056900726	0.059322034	0.115012107	0.725181598	0.21686747	0.050675676	0.459863946	1	0.130912162	0.124155405	0.175675676	0.241554054	0.13597973	0.065306122	0.918367347	0.619047619	0.367346939	0.585034014	0.587755102	0.081632653	0.013605442	0.140136054	0.189115646	0	24899
119	H	0.351860358	0.127698668	0.027101516	0.479099678	0.523311132	0.437833037	0.015340364	0.16970278	0.297520661	0.194117647	0.194545455	0.14198783	0.100671141	0.076701822	0.13135187	0.61936721	0.201438849	0.139943343	0.381003202	0.976271186	0.158640227	0.106515581	0.121246459	0.139376771	0.133144476	0.553895411	0.395944504	0.750266809	0.144076841	0.382070438	0.501600854	0.160085379	0.046958378	0.281750267	0.200640342	0.011739594	23442
120	H	0.371363636	0.132272727	0.062272727	0.437727273	0.511787819	0.37394247	0.016614746	0.241952233	0.452380952	0.189349112	0.232245681	0.253393665	0.141225337	0.04569055	0.124610592	0.583592939	0.175324675	0.263824885	0.365321701	0.996644295	0.157834101	0.088133641	0.070276498	0.077764977	0.131912442	0.452562704	0.528898582	0.797164667	0.00436205	0.167938931	0.574700109	0.163576881	0.011995638	0.417666303	0.116684842	0.276990185	15896
121	H	0.431274346	0.116304953	0.117974402	0.395659432	0.451649602	0.34204793	0.050632911	0.329113924	0.486725664	0.41	0.304785894	0.359872611	0.205344585	0.023909986	0.205344585	0.441631505	0.313559322	0.43245283	0.27724359	0.990825688	0.165283019	0.043018868	0.018113208	0.022641509	0.133584906	0.299679487	0.674679487	0.923076923	0.004807692	0.139423077	0.75	0.136217949	0.025641026	0.501602564	0.080128205	0.602564103	12173
122	H	0.243977977	0.201307639	0.030282175	0.496902959	0.53978979	0.460609911	0.008310249	0.102493075	0.164179104	0.115625	0.101529903	0.103448276	0.052631579	0.102493075	0.074792244	0.719529086	0.135416667	0.052631579	0.458030403	0.987804878	0.08547685	0.145627226	0.149188761	0.316580926	0.110011872	0.125578321	0.871116986	0.452081956	0.197620621	0.645076008	0.471249174	0.088565763	0.058162591	0.144745539	0.248512888	0	29170
123	H	0.281066426	0.209670131	0.024853141	0.441482151	0.512077295	0.379456706	0	0.085977482	0.18	0.065	0.081132075	0.091722595	0.045035824	0.094165814	0.103377687	0.716479017	0.130718954	0.090909091	0.375796178	0.996212121	0.132231405	0.138842975	0.121212121	0.218181818	0.111294766	0.432059448	0.555201699	0.798301486	0.041401274	0.504246285	0.353503185	0.050955414	0.057324841	0.184713376	0.229299363	0.063694268	28252.5
124	H	0.314901048	0.162398137	0.030267753	0.462747381	0.502544529	0.429184549	0	0.140880503	0.354166667	0.119047619	0.121518987	0.16	0.086792453	0.042767296	0.109433962	0.704402516	0.142857143	0.155459147	0.318681319	0.987654321	0.227042661	0.10845987	0.08604483	0.07230658	0.116413594	0.494505495	0.48489011	0.678571429	0.001373626	0.450549451	0.534340659	0.050824176	0.010989011	0.254120879	0.190934066	0.343406593	21313
125	A																																					21567.13
